,Wizkid,Davido,Burnaboy
2746,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…",         …,".’s “Ginger” (video) feat.  has surpassed 4 million views on YouTube! 💣 

5M next! Watch here: https:/…"
2747, wizkid,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","wednesdaymorning
With @ DJAlly📻📻📻🎵🎵🎵
NP:own it by


StayTuned
VibesParty
StayBlessed 
ON AIR 📻 🔥"
2748,Wizkid's JORO hit 93 Million Organic Views via YouTube. 🦅🔥,"Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…",3 Years Outside: Appreciating ’s peerless creative run since his rebirth. 
2749,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…","   Where did u get this from ? Cuz the organizer clearly said it was 14,000 capacity.","Burna Boy - Heavens Gate.

"
2750,"MTV MAMAs 🏆 !

• Best Collaboration – “Smile”
• Best Fan-Base
• Artist of The Year 

VOTE WIZKID HERE:… "," Follow pls 
I will follow back 🙏","Better watch how you move outside when you lose outside...watch how you move outside
          -Outside  ❤️❤️💯"
2751,"Please help me rtw🙏
Perm slippers at affordable price 
4000 
Delivery nationwide
Contact: 08087006960

Twitter NG AG Ba…",Davido’s album is really good.,"Big ups to you too for giving us a master piece, we didn't just hear , we listened.....AFRICAN GIANT I STAN🙌🙌 "
2752,You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",EricaXPartnerMobile bbcnews TachaInHerLane WelcomeTuchel OrluMassacre igboho Burnaboy Atinka MadeinLagos http…
2753,Dj Cuppy x Wizkid God when 🤔🥰🥰,"🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",  Yes of course I have voted..but is there anyway I can vote him Grammy
2754,Wizkid leaked songs nah another person full album 😔,"Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…",  Available on audiomack
2755, I'll talk to wizkid no worries OK👌 ,"  🦅❤️🦍

🐸","MORNING GROOVE 📻🎧 with 

NP🔊 On The Low - 




TheMorningGroove
daddyswag…"
2756,nah wizkid first do amapiano for Nigeria ,"Davido is the first African artist to sell out 02 20,000 capacity without gumbody on this day 27.01.2019... …","After  putting khaligraph, MI, ice prince, burnaboy and all GH artists on the map,amerado is next👍🔥 "
2757,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…",".  ’s JOWO (official music video) has now garnered over 11M  views.. 

UP NEXT : THE BEST feat …",  He was massively robbed
2758,"Please help me rtw🙏
Perm slippers at affordable price 
4000 
Delivery nationwide
Contact: 08087006960

Twitter NG AG Ba…","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",Road clerarer🤘🏽❤️❤️❤️💯 
2759,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",.'s JOWO Music Video Has Now Crossed 11 Million Views On Youtube,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2760,I’ll forever be grateful to Wizkid  for giving us Tems🥺🤍,🙌,3 Years Outside: Appreciating ’s peerless creative run since his rebirth. 
2761,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…",You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…,"Among the following Artists who have the best Album of the year in Africa???
Burnaboy     Davido       Wizkid …"
2762,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"Np Hey Boy -  x  

MorningDrive w  x  cc  

MidWeekVibes
Rhythmph"
2763,"Here’s a song for you… Longtime (feat. Skepta) by WizKid
WizkidFCSP
","Activate by stonebwoy and Davido , I know OHEMAA NENGI will love it as well GhanaWelcomesNengi",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2764,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…", A ba oja o,"Keep voting for 

Artist of the year, Best Male, Best collaboration n song of the year for Monsters You Made at t…"
2765,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…",🙌,"Billboard Global Excl. US: 52(+4) Jerusalema Remix,  feat.  and  [20 weeks]. *Peak: 1…"
2766,"FRAME 1: N20,000
FRAME 2: N30,000
FRAME 3: N7,000
FRAME 4: N15,000

 Or DM

Delivery Nationw… ","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …","EricaXPartnerMobile
Erica nlewedim working with
Tiwa savage
Burnaboy 
2baba
See levels 🔥🔥🔥 "
2767,"Wizkid Joro has now hit 93M streams on YouTube 

Added 1m in another 3 days 🔥🔥🔥 ",   E choke my king  ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2768,See I go be the no 1 African Champion no lele ..... Wizkid no dey cap 🧢 😩❤️ ,All I’m gonna say is  KILLED his verse on the “Love Cycle” remix 🔥🎶🔥 Damn I can’t wait for you guys to hear this‼️,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2769,"Wizkid Joro has now hit 93M streams on YouTube 

Added 1m in another 3 days 🔥🔥🔥 ","When the video drops, I’ll talk. ","2sickfromafar THE ALBUM is Out Now in all Platforms 👇



 …"
2770,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",      😂 😂 😂,"  Artist that says things with their full chest 
1 Davido
2 Davido
3 Davido
Artist that do the opposite…"
2771,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …","Good morning guys ,,,help me sell out my first set for this year ..with y’all help I can do that .. kindly help your girl…"
2772,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…","*10 minutes after being kidnapped*

Me__Tule joor!!!! Boss abeg you fit play me The best by  make e choke ooo🔥🔥 h…",Burna actually released 3 solid projects in 3 years. Mehn! Levels to this shit
2773,"Wizkid's JORO hit 93 Million Views via YouTube.

Thanks to your favorite dada boy and uncle majek fashek for their vers…","*5 minutes after getting kidnapped * 

me ; bros abeg remind me if 5PM don knack, i wan watch davido TheBestVideo for your…",EricaXPartnerMobile bbcnews TachaInHerLane WelcomeTuchel OrluMassacre igboho Burnaboy Atinka MadeinLagos 
2774,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…",You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…,". &amp; the outsiders band performing “Way Too Big” live, for  / ! 🦍 "
2775,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",".  features on +44 AUX CORD performing tracks off his newly released Grammy nominated album ""Twice As Tall""

T…"
2776,Name a better album of the decade that is bigger/better than Wizkid's Made In Lagos in the whole of Africa.. I'll wait. I ge…,We can't wait for that new Teni x Davido hit coming through. 😍🥵 ,"   Broo 
You like polo G baa
Cause you cap-a-lot"
2777,"Please help me rtw🙏
Perm slippers at affordable price 
4000 
Delivery nationwide
Contact: 08087006960

Twitter NG… ","Ahead of the release of The Best.  Jowo surpassed 11M on YouTube. We are waiting for another Classic, Movie, and…",". &amp; the outsiders band performing “Way Too Big” live, for  / ! 🦍 "
2778,"Here’s a song for you… Gyrate by WizKid
WizkidFCSP
","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",         
2779,"ThrowbackThursday YouTube x Wizkid 
💫💫💫
",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2780,nah wizkid first do amapiano for Nigeria ,"🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…",   You are blessed
2781,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",Larry Gaaga ft Umu Obiligbo &amp; Davido - Doubting Thomas,"▶️🔊NP || location  ft  

KennisInTheMorning with W/F  x  

On KennisFm… "
2782,"Wizkid’s album Made in Lagos is so good that there is a song for every moment. Classic body of work  

I find my se…",''We should all regard ourselves as ‘The Best’ in order for us to believe sufficiently in ourselves.'' - Davido » https…,"MORNING GROOVE 📻🎧 with 

NP🔊 On The Low - 




TheMorningGroove… "
2783,"30BG when we do it we do it BIG abeg. The GOAT  sold out a 20,000 capacity arena while wizkid and the entire music i…","*5 minutes after getting kidnapped * 

me ; bros abeg remind me if 5PM don knack, i wan watch davido TheBestVideo for your…",Burna actually released 3 solid projects in 3 years. Mehn! Levels to this shit
2784,"Again, FG to shut down Third Mainland Bridge Friday -  News Wizkid Davido EndSars… ",I don answer your name  for street (Nigeria) before so as  for (Europe) and I love  r… ,    Bless up Mega🤩🤩🤩
2785,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …","  Wtf you mean? He was on a creative run before ""outside""..go figure "
2786,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…", Gee
2787,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…","I’m sorry  ,listening to body to body Ycd  rn
And you’re the Greatest"
2788,"New Video : 

WizKid - Ginger (Official Video) ft. Burna Boy  via 

Watch and Retweet 🦍🦅 🙏🏾 …","Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2789,This live performance of “True Love” by Wizkid will always be special. 🦅 , Are you near the best?, Why are you knocking on the gate
2790,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…","Jammin' Burna Boy () - Boshe Nlo
Listen on DAB Radio around Manchester, Glasgow, Portmouth &amp; Norwich UK | on Ale…"
2791,Wizkid JORO official video has 93M views via  ! ⚡⚡,What A Better Time to post this Pencil drawing of Davido's latest album by  ,  As you no get papa na Wetin kill ur papa and grandpa go kill u
2792,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…","FRAME 1: N20,000
FRAME 2: N30,000
FRAME 3: N7,000
FRAME 4: N15,000

 Or DM

Delivery Nationw… ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2793,"“How you gonna win when you ain't right within?” Lauryn Hill 

“You can’t shine if you got hate in your heart” Wizkid…","Activate by stonebwoy and Davido , I know OHEMAA NENGI will love it as well GhanaWelcomesNengi ",".  features on +44 AUX CORD performing tracks off his newly released Grammy nominated album ""Twice As Tall""

T…"
2794,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …", As davido u b na 😂,   Taleyi 
2795,Y'all agree Reckless is the hardest wizkid intro for now ? 🤔,".  ’s JOWO (official music video) has now garnered over 11M  views.. 

UP NEXT : THE BEST feat …",Vibes all Day burna Boy Ablum inspired ✨ me I love you 😍 burna boy I promise myself I must see you before I leave this cold wo…
2796,"4 years ago since Tiwa savage and wizkid blessed us with Ma Lo. One of the best 🇳🇬 collaborations in the last decade?
https:…","Listen, Davido knows this business.

He lives it, he owns it. I'm continually inspired by him and his team.","Now Playing on 234Radio, Burna Boy () - Alarm Clock.

Download 234Radio mobile app on iOS and Android."
2797,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",NP My Oasis  ft  w/  Breakfastradio WildWishWednesday 
2798,Wizkid's JORO hit 93 Million Organic Views via YouTube. 🦅🔥,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","UltimateMorningShow with  

NP▶️📻  Simmer -  ft 

WhatsupWednesday
Covid19Is…"
2799,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…",". ""Jowo "" is currently 1 in Ghana and Zimbabwe Apple Music 📈.",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2800,  I miss him. Can u reach out to him? Is it possible?,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","NP🔊 'Hey Boy' -  ft   
📻🎧 on WhatsUpLagos w.  💜

   
WeOwnTheMorning…"
2801,"Here’s a song for you… Blessed (feat. Damian Marley) by WizKid
WizkidFCSP
",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,Burna Boy freestyling at my uni in 2009! 💫🔥 burnaboy  
2802,Dj Cuppy x Wizkid God when 🤔🥰🥰,🙌,MadeinLagos EricaXPartnerMobile GoodVibes WelcomeTuchel OrluMassacre igboho Burnaboy EricaTv WednesdayMotivation
2803,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End… ","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …","Mhen!!!!! The love too strong ❤️🦍

   Outsiders turning up greatly

We staying outside forever 🔥🔥 http…"
2804,"Lagos vibe 
             Wizkid
 2:26 ━━━━━━❍── 3:59
          ↻     ⊲  Ⅱ  ⊳     ↺    volume:▁▂▃▄▅▆▇100%","PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",  To sing along is very easy....try pause the music and see if you can continue
2805,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…","30BG when we do it we do it BIG abeg. The GOAT  sold out a 20,000 capacity arena while wizkid and the entire music i…","Among the following Artists who have the best Album of the year in Africa???
Burnaboy     Davido       Wizkid …"
2806,I’ll forever be grateful to Wizkid  for giving us Tems🥺🤍, Big dreams ,"🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Made In Lagos 
2️⃣ A Better Time 
3️⃣ TGOTK 
4️⃣ WHWD …"
2807,"Here’s a song for you… Joro by WizKid
","Again, FG to shut down Third Mainland Bridge Friday -  News Wizkid Davido EndSars… ",A Classic 
2808,"WORLDWIDE APPLE MUSIC TOP ALBUMS CHART:

47. Wizkid – MadeInLagos [+1]

EUROPEAN APPLE MUSIC TOP ALBUMS CHART:

48. Wizki…",". On Apple Music🇬🇭:
1. Jowo
5. Activate
12. The Best
14. Holy Ground
19. FEM
51. Maserati
66. Something Fishy
69.…",     Dis very govt deeply believe in d myth dat only a sectio… 
2809,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…",Tomorrow 5pm. Directed by Dammy Twitch 💫🤬,I remember by this time last year was Grammy's night when  African Giant album lost to Angelique Kidjo's Celia y…
2810,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","Please don't scroll without RETWEETING my hustle . I beg you in the name GOD. 

N5k each.
Whatsapp 08067192010

davido loc…"
2811, Made in lagos by wizkid,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","Wizkid- Ginger ft Burnaboy on Apple 🍎 Music 
WizkidFCAS 

"
2812,"|🇬🇧 BBC 1XTRA AIRPLAY CHART:

1. Wizkid – Essence (feat. ) [=]

– 21st day at 1

 https:/…",         come check something here,"EricaXPartnerMobile
Erica nlewedim working with
Tiwa savage
Burnaboy 
2baba
See levels 🔥🔥🔥 "
2813,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",Davido's Jowo now has over 10 million youtube views in 1 month., Any way🤗
2814,"It's all show business: Shiloh, Crusades, Indaboski, Davido &amp; Wizkid's Live in Concert, AY Live, etc. The pastors &amp; arti…",The Masterpiece Love Song Jowo by  just reached a spectacular height of 11 Million on  just in a period of On…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2815,Wizkid did it better silhouettechallenge ,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",". &amp; the outsiders band performing “Way Too Big” live, for  / ! 🦍 "
2816,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2817,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…",      😂okay na,"Mhen!!!!! The love too strong ❤️🦍

   Outsiders turning up greatly

We staying outside forever… "
2818,"WizKid will perform a leak song and A 20K capacity venue will sing word for word.

Do am if e easy",Whoooosh!!!!!!❤️ ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2819,"– MTV MAMAs 🏆 !

• Best Collaboration – “Smile”
• Best Fan-Base
• Artist of The Year 

VOTE WIZKID HERE: …",DAVIDO ~ GREEN LIGHT RIDDIM 💚,Working hard for success. Tag who should see this pls help a soul .      …
2820,This live performance of “True Love” by Wizkid will always be special. 🦅 ,"🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …","I’m sorry  ,listening to body to body Ycd  rn
And you’re the Greatest"
2821,Wizkid did it better silhouettechallenge , If you like the 1 million wey Davido give you use am smoke Igbo finish,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2822,I’ll forever be grateful to Wizkid  for giving us Tems🥺🤍,"Lala by  ft  &amp; Maserati(remix) by  ft  entered South Africa iTunes chart🇿🇦 245 &amp; 213

@…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2823,"Wizkid is breaking all the records they sets, but it only takes Wizkid to break his own records. 🐐 

These ni66az ain't…",        1DON 🔥,"WhatsUpPH📻🎵🎧w/

🎵NowOnAir 🔊Way Too Big-  

Listen here👉🏾

PoweredByMusic"
2824,I’ll forever be grateful to Wizkid  for giving us Tems🥺🤍,"🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…",". alongside his Outsiders band feature for +44 UK and   performing his hit track ""Way Too Big"" off…"
2825,Dj Cuppy x Wizkid God when 🤔🥰🥰,🙌,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2826,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",     It sounds bitter right. Cry more😆😆,"NP🔊 'Hey Boy' -  ft   
📻🎧 on WhatsUpLagos w.  💜

   
WeOwnTheMornings 🌞"
2827,  You think wizkid will allow you to just be saying oyoyoyo...,".  ’s JOWO (official music video) has now garnered over 11M  views.. 

UP NEXT : THE BEST feat …","UltimateMorningShow with  

NP▶️📻  Simmer -  ft 

WhatsupWednesday… "
2828,"Wizkid 
Burnaboy
davido
I never believed you guys have ishes,
Let me see one slapping the other fore I'll believe😎😂more GRACE Bosses","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…",Olamide has fans/stans than Burnaboy anywhere anyday 🤝
2829,Wizkid's JORO hit 93 Million Organic Views via YouTube. 🦅🔥,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", Where me come from look like baghdad i know....
2830,Messi J Cole Wizkid, Have you heard activate by stinebwoy and Davido? GhanaWelcomesNengi OHEMAA NENGI,"Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
2831,Wizkid did it better silhouettechallenge ," 
 
 
 
 
 
 
 
 
…"," Hello ☺

Pls RT 🙏🏾
We are a reliable Vehicle Document Agency, we offer top notch Autoreg Services. 

Our ser…"
2832,". Pami ft Wizkid, Omalay and AG Baby, this song❤️🔥🔥🔥🔥

 ","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…","I'm a graphic designer and video editor.. Please patronise me, that's the only way I can eat o

GraphicDesign… "
2833,"Here’s a song for you… Joro by WizKid
","Asides Davido's A Good Time, no other album from 2019 had a better intro and outro than Shane Eagle's Dark Moon Flower. Argue w…"," if them no involve u, no involve yourself"
2834,"Plain tees 
Price : 2000 naira 
 
Nationwide delivery
Whatsapp-08090932984
M/XL .Pls kindly retweet 🙏🏾🙏🏾

Chloe | Rats…","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",NP My Oasis  ft  w/  Breakfastradio WildWishWednesday 
2835,"Wizkid - Sweet One on Apple 🍎 Music 🎼 

WIZKIDFCAS 
","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","WorldCleanupDay2020 

 is an Indian lawyer and environmental activist from Mumbai. 

He is best known for organizi…"
2836,Never forget when Davido posted Wizkid MIL album. the numbers went up real quick and started trended. He is a king and always…,"🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…", Burna u be man! Keep it up oluwaburna
2837,See I go be the no 1 African Champion no lele ..... Wizkid no dey cap 🧢 😩❤️ ,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", Outside is the real deal...knocking on heavens gate
2838,Wizkid leaked songs nah another person full album 😔,"Ahead of the release of The Best.  Jowo surpassed 11M on YouTube. We are waiting for another Classic, Movie, and…",   since before outside his been inside my phone 😂
2839,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…","🚘: 2015 Toks Toyota Camry  - 6m

🚘: 2016 Toks MB GLE 350 - 17m

🚘: 2008 Toks Toyota Highlander - 4.6m

🚘: 2010 Toks Toyota C…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2840,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…"," Stonebwoy ft Davido Activate

GhanaWelcomesNengi",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2841,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…",Since Davido never drop new video pengman never see content post for e dead YouTube account. Na we Dey give dem life,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
2842,"PLS RETWEET ♻️🙏

Knee support:7k
Ankle brace:5k
Swab stick:7500
Fetal Doppler:28k
.
To order: 
.
.…","PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …","Burnaboy yesterday, today and forever!"
2843,"“Make I Sing For You La La Do Do” 🎵 ⭐️
MIL roma wizkid starboy ","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",  dope u are just too talented
2844,Never forget when Davido posted Wizkid MIL album. the numbers went up real quick and started trended. He is a king and always…,"PLS RETWEET♻️🙏

Surgical mask:2500
Mesh Nebulizer:18k
Pocket Nebulizer:45k
Covid19 test kit: 55k
.
To order: …",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
